year,case,question_no,question_type
令和5年,事例I,1,経営環境分析
令和5年,事例I,2,組織・人材課題
令和5年,事例I,3,人材育成施策
令和5年,事例I,4,成長戦略提言
令和5年,事例II,1,ターゲット戦略
令和5年,事例II,2,提供価値設計
令和5年,事例II,3,チャネル・パートナー
令和5年,事例II,4,プロモーション計画
令和5年,事例III,1,現状分析
令和5年,事例III,2,段取り改善
令和5年,事例III,3,在庫管理
令和5年,事例III,4,外注・内製方針
令和5年,事例IV,1,財務指標分析
令和5年,事例IV,2,CVP分析
令和5年,事例IV,3,投資評価
令和5年,事例IV,4,資金繰り管理
令和4年,事例I,1,経営環境分析
令和4年,事例I,2,組織・人材課題
令和4年,事例I,3,人材活性化
令和4年,事例I,4,戦略実行支援
令和4年,事例II,1,市場機会評価
令和4年,事例II,2,新製品戦略
令和4年,事例II,3,チャネル・パートナー
令和4年,事例II,4,プロモーション計画
令和4年,事例III,1,生産計画立案
令和4年,事例III,2,段取り改善
令和4年,事例III,3,外注・内製方針
令和4年,事例III,4,設備投資判断
令和4年,事例IV,1,財務指標分析
令和4年,事例IV,2,CVP分析
令和4年,事例IV,3,投資評価
令和4年,事例IV,4,原価計算
令和3年,事例I,1,経営環境分析
令和3年,事例I,2,組織・人材課題
令和3年,事例I,3,人材育成施策
令和3年,事例I,4,事業再構築
令和3年,事例II,1,ターゲット戦略
令和3年,事例II,2,提供価値設計
令和3年,事例II,3,チャネル・パートナー
令和3年,事例II,4,ブランド強化
令和3年,事例III,1,現状分析
令和3年,事例III,2,在庫管理
令和3年,事例III,3,外注・内製方針
令和3年,事例III,4,生産計画立案
令和3年,事例IV,1,財務指標分析
令和3年,事例IV,2,CVP分析
令和3年,事例IV,3,投資評価
令和3年,事例IV,4,資金調達
